"","Name","Age","Nationality","Club","Overall","Potential","Values","Preferred.Foot","Height","Weight","Country"
"943","T. Cleverley",28,"England","Watford",76,76,7500000,"Right",175,67,"UK"
"944","P. Bargfrede",29,"Germany","SV Werder Bremen",76,76,6e+06,"Right",175,71,"Germany"
"945","J. Jankto",22,"Czech Republic","Sampdoria",76,85,11500000,"Left",180,74,"Italy"
"946","Junior Firpo",21,"Spain","Real Betis",76,81,8500000,"Left",183,75,"Spain"
"947","D. D'Ambrosio",29,"Italy","Inter",76,76,6e+06,"Right",180,75,"Italy"
"948","S. Vokes",28,"Wales","Burnley",76,76,8e+06,"Right",188,90,"UK"
"949","Mario Hermoso",23,"Spain","RCD Espanyol",76,84,1e+07,"Left",183,74,"Spain"
"950","F. Bartels",31,"Germany","SV Werder Bremen",76,76,7e+06,"Right",175,69,"Germany"
"951","K. Malcuit",26,"France","Napoli",76,77,7500000,"Right",178,77,"Italy"
"952","Ayoze Pérez",24,"Spain","Newcastle United",76,81,10500000,"Right",178,72,"UK"
"953","V. Berisha",25,"Kosovo","Lazio",76,79,9500000,"Right",175,70,"Italy"
"954","R. Freuler",26,"Switzerland","Atalanta",76,77,9e+06,"Right",180,77,"Italy"
"955","Ganso",28,"Brazil","Amiens SC",76,76,8e+06,"Left",183,78,"France"
"956","M. Pašalić",23,"Croatia","Atalanta",76,83,10500000,"Right",188,83,"Italy"
"957","Vitor Hugo",27,"Brazil","Fiorentina",76,78,7500000,"Left",188,80,"Italy"
"958","R. Snodgrass",30,"Scotland","West Ham United",76,76,7500000,"Left",183,82,"UK"
"959","Francisco Geraldes",23,"Portugal","Eintracht Frankfurt",76,83,1.1e+07,"Right",170,66,"Germany"
"960","D. Santon",27,"Italy","Roma",76,76,6500000,"Right",188,77,"Italy"
"961","M. Niang",23,"Senegal","Stade Rennais FC",76,81,10500000,"Right",183,78,"France"
"962","M. Noble",31,"England","West Ham United",76,76,6500000,"Right",178,76,"UK"
"963","M. Rashica",22,"Kosovo","SV Werder Bremen",76,83,1.1e+07,"Right",178,73,"Germany"
"964","C. Benteke",27,"Belgium","Crystal Palace",76,76,8e+06,"Right",190,83,"UK"
"965","Rômulo",31,"Italy","Genoa",76,76,6500000,"Right",178,72,"Italy"
"966","Embarba",26,"Spain","Rayo Vallecano",76,77,9e+06,"Right",173,66,"Spain"
"967","C. Kerbrat",31,"France","En Avant de Guingamp",76,76,5e+06,"Right",185,74,"France"
"968","L. Teodorczyk",27,"Poland","Udinese",76,77,9e+06,"Right",188,86,"Italy"
"969","L. Rupp",27,"Germany","TSG 1899 Hoffenheim",76,76,8e+06,"Right",178,73,"Germany"
"970","Jordi Amat",26,"Spain","Rayo Vallecano",76,80,8500000,"Right",185,83,"Spain"
"971","W. Caballero",36,"Argentina","Chelsea",76,76,1e+06,"Right",185,81,"UK"
"972","F. Di Francesco",24,"Italy","Sassuolo",76,79,1e+07,"Right",170,75,"Italy"
"973","M. Destro",27,"Italy","Bologna",76,76,8e+06,"Right",178,72,"Italy"
"974","Josué",27,"Portugal","Akhisar Belediyespor",76,76,8e+06,"Left",175,75,"Turkey"
"975","Ki Sung Yueng",29,"Korea Republic","Newcastle United",76,76,7500000,"Right",188,75,"UK"
"976","H. Onyekuru",21,"Nigeria","Galatasaray SK",76,86,12500000,"Right",175,59,"Turkey"
"977","N. Pépé",23,"Ivory Coast","LOSC Lille",76,84,11500000,"Left",183,73,"France"
"978","C. Hérelle",25,"France","OGC Nice",76,80,8500000,"Right",188,75,"France"
"979","E. Mangala",27,"France","Manchester City",76,78,7500000,"Left",188,84,"UK"
"980","Carles Planas",27,"Spain","Girona FC",76,77,7e+06,"Left",173,76,"Spain"
"981","A. Ekdal",28,"Sweden","Sampdoria",76,76,7500000,"Right",185,75,"Italy"
"982","Gedson Fernandes",19,"Portugal","SL Benfica",76,86,1.2e+07,"Right",180,71,"Portugal"
"983","M. Darmian",28,"Italy","Manchester United",76,76,6e+06,"Right",183,70,"UK"
"984","N. Chalobah",23,"England","Watford",76,81,8500000,"Right",185,76,"UK"
"985","S. Tshabalala",33,"South Africa","BB Erzurumspor",76,76,4700000,"Left",170,65,"Turkey"
"986","L. Rossettini",33,"Italy","Chievo Verona",76,76,3100000,"Right",188,82,"Italy"
"987","F. Viviani",26,"Italy","SPAL",76,79,9500000,"Right",180,75,"Italy"
"988","M. de Roon",27,"Netherlands","Atalanta",76,76,8e+06,"Right",185,76,"Italy"
"989","Y. Ōsako",28,"Japan","SV Werder Bremen",76,76,8e+06,"Right",183,71,"Germany"
"990","P. van Aanholt",27,"Netherlands","Crystal Palace",76,76,6500000,"Left",175,67,"UK"
"991","S. Meïté",24,"France","Torino",76,79,8e+06,"Right",188,80,"Italy"
"992","K. Dolberg",20,"Denmark","Ajax",76,85,1.2e+07,"Right",188,83,"Netherlands"
"993","L. Vietto",24,"Argentina","Fulham",76,80,1e+07,"Right",173,70,"UK"
"994","A. Izzo",26,"Italy","Torino",76,81,8500000,"Right",183,78,"Italy"
"995","A. Paloschi",28,"Italy","SPAL",76,76,8e+06,"Right",183,80,"Italy"
"996","Llorente",33,"Spain","Tottenham Hotspur",76,76,4800000,"Right",193,92,"UK"
"997","J. Morel",34,"Madagascar","Olympique Lyonnais",76,76,2300000,"Left",175,78,"France"
"998","G. Kakuta",27,"DR Congo","Rayo Vallecano",76,76,8e+06,"Left",173,64,"Spain"
"999","João Pedro",26,"Brazil","Cagliari",76,79,9500000,"Right",183,73,"Italy"
"1000","Kenedy",22,"Brazil","Newcastle United",76,84,11500000,"Left",183,77,"UK"
"1001","N. Vukčević",26,"Montenegro","Levante UD",76,79,8e+06,"Left",183,76,"Spain"
"1002","F. Borini",27,"Italy","Milan",76,76,8e+06,"Right",180,74,"Italy"
"1003","I. Sarr",20,"Senegal","Stade Rennais FC",76,87,13500000,"Right",185,76,"France"
"1004","C. Clark",28,"Republic of Ireland","Newcastle United",76,77,7e+06,"Left",185,88,"UK"
"1005","Mata",29,"Spain","Getafe CF",76,76,7500000,"Right",188,78,"Spain"
"1006","M. Albrighton",28,"England","Leicester City",76,76,8e+06,"Right",175,74,"UK"
"1007","A. Gray",27,"England","Watford",76,77,9e+06,"Right",180,78,"UK"
"1008","Yoel",29,"Spain","Real Valladolid CF",76,76,5e+06,"Right",185,78,"Spain"
"1009","S. Proto",35,"Belgium","Lazio",76,76,1800000,"Right",183,74,"Italy"
"1010","A. Mehmedi",27,"Switzerland","VfL Wolfsburg",76,76,8e+06,"Right",183,78,"Germany"
"1011","Pablo",27,"Brazil","FC Girondins de Bordeaux",76,77,7500000,"Right",188,86,"France"
"1012","A. Samaris",29,"Greece","SL Benfica",76,76,6e+06,"Right",188,84,"Portugal"
"1013","G. Lapadula",28,"Italy","Genoa",76,76,8e+06,"Left",178,69,"Italy"
"1014","S. Padt",28,"Netherlands","FC Groningen",76,78,6500000,"Right",198,85,"Netherlands"
"1015","F. Klaus",25,"Germany","VfL Wolfsburg",76,77,9e+06,"Right",180,79,"Germany"
"1016","H. Nordtveit",28,"Norway","TSG 1899 Hoffenheim",76,77,7e+06,"Right",188,83,"Germany"
"1017","S. Zuber",26,"Switzerland","TSG 1899 Hoffenheim",76,77,7500000,"Right",183,79,"Germany"
"1018","J. Palomino",28,"Argentina","Atalanta",76,78,7500000,"Left",188,87,"Italy"
"1019","Y. Mutō",25,"Japan","Newcastle United",76,79,1e+07,"Right",178,72,"UK"
"1020","M. Barbosa",33,"Argentina","Villarreal CF",76,76,3900000,"Right",188,79,"Spain"
"1021","G. Laborde",24,"France","Montpellier HSC",76,81,10500000,"Left",180,78,"France"
"1022","P. Baysse",30,"France","Stade Malherbe Caen",76,76,5500000,"Right",183,82,"France"
"1023","Eric Botteghin",30,"Brazil","Feyenoord",76,76,5500000,"Right",190,89,"Netherlands"
"1024","Iván Alejo",23,"Spain","Getafe CF",76,81,10500000,"Right",183,76,"Spain"
"1025","Thiago Mendes",26,"Brazil","LOSC Lille",76,79,8e+06,"Right",178,80,"France"
"1026","D. Brosinski",29,"Germany","1. FSV Mainz 05",76,76,6e+06,"Right",178,70,"Germany"
"1027","T. Monconduit",27,"France","Amiens SC",76,78,7500000,"Right",183,83,"France"
"1028","Andrés Fernández",31,"Spain","Villarreal CF",76,76,4700000,"Right",188,82,"Spain"
"1029","M. Konaté",25,"Senegal","Amiens SC",76,80,1e+07,"Right",183,78,"France"
"1030","C. Théréau",35,"France","Fiorentina",76,76,3400000,"Right",188,79,"Italy"
"1031","T. Jedvaj",22,"Croatia","Bayer 04 Leverkusen",76,83,9500000,"Right",183,82,"Germany"
"1032","J. Briand",32,"France","FC Girondins de Bordeaux",76,76,6e+06,"Right",180,84,"France"
"1033","F. Lustenberger",30,"Switzerland","Hertha BSC",76,76,5500000,"Right",180,70,"Germany"
"1034","J. Ayew",26,"Ghana","Crystal Palace",76,76,8500000,"Right",183,81,"UK"
"1035","R. Thomas",30,"France","Angers SCO",76,76,5500000,"Left",193,84,"France"
"1036","N. Sansone",26,"Italy","Villarreal CF",76,77,9e+06,"Right",175,68,"Spain"
"1037","E. Bičakčić",28,"Bosnia Herzegovina","TSG 1899 Hoffenheim",76,76,6e+06,"Right",185,85,"Germany"
"1038","J. Veltman",26,"Netherlands","Ajax",76,77,7500000,"Right",183,75,"Netherlands"
"1039","A. Knockaert",26,"France","Brighton & Hove Albion",76,76,8500000,"Left",173,69,"UK"
"1040","M. Dembélé",21,"France","Olympique Lyonnais",76,85,1.2e+07,"Right",183,74,"France"
"1041","F. Mollet",26,"France","Montpellier HSC",76,77,9e+06,"Right",170,67,"France"
"1042","D. Dumfries",22,"Netherlands","PSV",76,81,8500000,"Right",188,80,"Netherlands"
"1043","Koo Ja Cheol",29,"Korea Republic","FC Augsburg",76,76,7500000,"Right",183,79,"Germany"
"1044","A. Petagna",23,"Italy","SPAL",76,81,10500000,"Left",190,85,"Italy"
"1045","De Tomás",23,"Spain","Rayo Vallecano",76,83,1.1e+07,"Right",180,72,"Spain"
"1046","T. Koubek",25,"Czech Republic","Stade Rennais FC",76,79,7e+06,"Right",198,95,"France"
"1047","S. Ristovski",26,"FYR Macedonia","Sporting CP",76,77,7500000,"Right",180,72,"Portugal"
"1048","Maicón",28,"Brazil","Antalyaspor",76,76,8e+06,"Right",183,73,"Turkey"
"1049","P. Højbjerg",22,"Denmark","Southampton",76,81,1e+07,"Right",185,84,"UK"
"1050","L. Antonelli",31,"Italy","Empoli",76,76,5e+06,"Left",183,79,"Italy"
"1051","B. Embolo",21,"Switzerland","FC Schalke 04",76,86,12500000,"Right",185,86,"Germany"
"1052","V. Eysseric",26,"France","Fiorentina",76,77,9e+06,"Right",180,73,"Italy"
"1053","C. Salcedo",24,"Mexico","Eintracht Frankfurt",76,80,8500000,"Right",185,83,"Germany"
"1054","A. Ranocchia",30,"Italy","Inter",76,76,5500000,"Right",196,81,"Italy"
"1055","L. Unnerstall",27,"Germany","VVV-Venlo",76,78,6e+06,"Right",198,103,"Netherlands"
"1056","T. Baumgartl",22,"Germany","VfB Stuttgart",76,81,8500000,"Right",190,89,"Germany"
"1057","W. Vainqueur",29,"France","Antalyaspor",76,76,6e+06,"Right",178,73,"Turkey"
"1058","Rubén Blanco",22,"Spain","RC Celta",76,83,8e+06,"Right",188,70,"Spain"
"1059","A. Ndiaye Diedhiou",21,"Senegal","Getafe CF",76,85,1.2e+07,"Right",173,63,"Spain"
"1060","G. Cabral",32,"Argentina","RC Celta",76,76,4400000,"Right",183,81,"Spain"
"1061","J. De Guzmán",30,"Netherlands","Eintracht Frankfurt",76,76,7e+06,"Right",175,74,"Germany"
"1062","J. Fernandes",29,"Chile","Alanyaspor",76,76,7500000,"Right",183,78,"Turkey"
"1063","Kiko Femenía",27,"Spain","Watford",76,77,7e+06,"Right",175,61,"UK"
"1064","A. Smith",27,"England","Bournemouth",76,76,6500000,"Right",180,78,"UK"
"1065","D. Stephens",29,"England","Brighton & Hove Albion",76,76,7500000,"Right",185,71,"UK"
"1066","Miguel Lopes",31,"Portugal","Akhisar Belediyespor",76,76,5e+06,"Right",183,83,"Turkey"
"1067","I. Belfodil",26,"Algeria","TSG 1899 Hoffenheim",76,78,9500000,"Right",190,86,"Germany"
"1068","J. Campbell",26,"Costa Rica","Frosinone",76,77,9e+06,"Left",178,72,"Italy"
"1069","Marc Roca",21,"Spain","RCD Espanyol",76,87,11500000,"Left",183,74,"Spain"
"1070","M. Veljković",22,"Serbia","SV Werder Bremen",76,83,9500000,"Right",183,77,"Germany"
"1071","J. Willems",24,"Netherlands","Eintracht Frankfurt",76,79,8e+06,"Left",178,82,"Germany"
"1072","A. Lennon",31,"England","Burnley",76,76,7e+06,"Right",165,63,"UK"
"1073","F. Forster",30,"England","Southampton",76,77,5500000,"Right",201,93,"UK"
"1074","C. Biraghi",25,"Italy","Fiorentina",76,78,7500000,"Left",185,78,"Italy"
"1075","Aritz Elustondo",24,"Spain","Real Sociedad",76,80,8500000,"Right",180,71,"Spain"
"1076","A. Cresswell",28,"England","West Ham United",76,76,6e+06,"Left",175,66,"UK"
"1077","Alex Berenguer",22,"Spain","Torino",76,81,10500000,"Right",175,73,"Italy"
"1078","C. Kouyaté",28,"Senegal","Crystal Palace",76,76,6e+06,"Right",188,83,"UK"
"1079","Camarasa",24,"Spain","Cardiff City",76,83,10500000,"Right",183,76,"UK"
"1080","J. Martin",28,"France","RC Strasbourg Alsace",76,76,7500000,"Right",183,70,"France"
"1081","M. Antenucci",33,"Italy","SPAL",76,76,4800000,"Right",178,76,"Italy"
"1082","R. Durmisi",24,"Denmark","Lazio",76,81,8500000,"Left",168,67,"Italy"
"1083","P. Schwegler",31,"Switzerland","Hannover 96",76,76,5e+06,"Right",178,74,"Germany"
"1084","Aday Benítez",30,"Spain","Girona FC",76,76,5500000,"Right",178,75,"Spain"
"1085","Jaume",27,"Spain","Valencia CF",76,78,6e+06,"Right",185,73,"Spain"
"1086","A. Delort",26,"France","Montpellier HSC",76,77,9e+06,"Right",180,83,"France"
"1087","P. Zabaleta",33,"Argentina","West Ham United",76,76,3e+06,"Right",178,74,"UK"
"1088","J. Gnagnon",21,"France","Sevilla FC",76,83,9500000,"Right",183,89,"Spain"
"1089","I. Bebou",24,"Togo","Hannover 96",76,81,10500000,"Right",183,77,"Germany"
"1090","R. Morrison",25,"England","Lazio",76,79,9500000,"Right",175,71,"Italy"
"1091","J. McArthur",30,"Scotland","Crystal Palace",76,76,7e+06,"Right",178,66,"UK"
"1092","R. Olsen",28,"Sweden","Roma",76,76,5500000,"Right",196,86,"Italy"
"1093","W. Hoedt",24,"Netherlands","Southampton",76,80,8500000,"Left",188,77,"UK"
"1094","R. Holding",22,"England","Arsenal",76,83,9500000,"Right",188,75,"UK"
"1095","F. Montero",30,"Colombia","Sporting CP",76,76,7500000,"Right",175,73,"Portugal"
"1096","N. Sliti",25,"Tunisia","Dijon FCO",76,77,9e+06,"Right",173,76,"France"
"1097","Y. Yazıcı",21,"Turkey","Trabzonspor",76,83,1.1e+07,"Left",183,74,"Turkey"
"1098","Y. Sankharé",28,"Senegal","FC Girondins de Bordeaux",76,76,7500000,"Left",183,80,"France"
"1099","S. Bell",26,"Germany","1. FSV Mainz 05",76,77,7500000,"Right",193,88,"Germany"
"1100","K. Linetty",23,"Poland","Sampdoria",76,83,10500000,"Right",175,73,"Italy"
"1101","F. Uduokhai",20,"Germany","VfL Wolfsburg",76,84,1e+07,"Left",193,78,"Germany"
"1102","Barragán",31,"Spain","Real Betis",76,76,5e+06,"Right",183,76,"Spain"
"1103","L. Skorupski",27,"Poland","Bologna",76,79,6500000,"Right",188,84,"Italy"
"1104","Toño García",28,"Spain","Levante UD",76,76,6e+06,"Left",178,69,"Spain"
"1105","A. Szalai",30,"Hungary","TSG 1899 Hoffenheim",76,76,7500000,"Right",193,90,"Germany"
"1106","Raúl Navas",30,"Spain","Real Sociedad",76,76,5500000,"Right",185,84,"Spain"
"1107","J. Brekalo",20,"Croatia","VfL Wolfsburg",76,84,11500000,"Right",175,70,"Germany"
"1108","M. Sels",26,"Belgium","RC Strasbourg Alsace",76,79,6500000,"Right",190,88,"France"
"1109","D. Gray",22,"England","Leicester City",76,83,1.1e+07,"Right",180,74,"UK"
"1110","M. Pjaca",23,"Croatia","Fiorentina",76,83,1.1e+07,"Right",185,83,"Italy"
"1111","M. Arambarri",22,"Uruguay","Getafe CF",76,81,8500000,"Right",175,76,"Spain"
"1112","A. Ćorić",21,"Croatia","Roma",76,88,1.4e+07,"Right",175,59,"Italy"
"1113","T. Gebre Selassie",31,"Czech Republic","SV Werder Bremen",76,76,5e+06,"Right",180,71,"Germany"
"1114","C. Nkunku",20,"France","Paris Saint-Germain",76,84,11500000,"Right",178,72,"France"
"1115","F. Kainz",25,"Austria","SV Werder Bremen",76,77,9e+06,"Right",175,71,"Germany"
"1116","B. Henrichs",21,"Germany","AS Monaco",76,84,9500000,"Right",183,79,"France"
"1117","D. Praet",24,"Belgium","Sampdoria",76,81,1e+07,"Right",180,78,"Italy"
"1118","O. Colley",25,"Gambia","Sampdoria",76,81,8500000,"Left",190,87,"Italy"
"1119","J. Aholou",24,"Ivory Coast","AS Monaco",76,83,9500000,"Left",188,74,"France"
"1120","Z. Labyad",25,"Morocco","Ajax",76,79,9500000,"Right",173,65,"Netherlands"
"1121","T. Mangani",31,"France","Angers SCO",76,76,6500000,"Left",183,79,"France"
"1122","E. Insúa",29,"Argentina","VfB Stuttgart",76,76,6e+06,"Left",180,79,"Germany"
"1123","D. Yedlin",24,"United States","Newcastle United",76,81,8500000,"Right",173,75,"UK"
"1124","T. Kraft",29,"Germany","Hertha BSC",76,76,5e+06,"Right",188,78,"Germany"
"1125","M. Simon",22,"Nigeria","Levante UD",76,82,10500000,"Right",168,69,"Spain"
"1126","Paulo Oliveira",27,"Portugal","SD Eibar",76,78,7500000,"Right",188,82,"Spain"
"1127","A. Gomis",24,"Senegal","SPAL",76,82,7500000,"Right",193,80,"Italy"
"1128","J. Hogg",29,"England","Huddersfield Town",76,76,6e+06,"Right",175,73,"UK"
"1129","A. Djiku",23,"France","Stade Malherbe Caen",76,82,9e+06,"Right",183,74,"France"
"1130","M. Antonio",28,"England","West Ham United",76,76,8e+06,"Right",178,82,"UK"
"1131","J. Clasie",27,"Netherlands","Feyenoord",76,77,8500000,"Right",170,68,"Netherlands"
"1132","Diego Rico",25,"Spain","Bournemouth",76,80,8e+06,"Left",183,76,"UK"
"1133","G. Donsah",22,"Ghana","Bologna",76,82,10500000,"Right",175,70,"Italy"
"1134","Felipe",33,"Brazil","SPAL",75,75,2700000,"Left",188,75,"Italy"
"1135","S. Fofana",23,"Ivory Coast","Udinese",75,82,9e+06,"Right",183,77,"Italy"
"1136","Pablo Santos",26,"Brazil","SC Braga",75,78,7e+06,"Left",188,82,"Portugal"
"1137","J. Svensson",25,"Norway","AZ Alkmaar",75,78,7e+06,"Right",170,70,"Netherlands"
"1138","F. Midtsjø",24,"Norway","AZ Alkmaar",75,78,8500000,"Right",175,70,"Netherlands"
"1139","Francis",22,"Spain","Real Betis",75,80,9e+06,"Right",175,78,"Spain"
"1140","Ivi",24,"Spain","Real Valladolid CF",75,81,9e+06,"Right",175,74,"Spain"
"1141","Unai Núñez",21,"Spain","Athletic Club de Bilbao",75,83,8500000,"Right",185,81,"Spain"
"1142","L. Lerager",24,"Denmark","FC Girondins de Bordeaux",75,78,8500000,"Right",185,85,"France"
"1143","P. De Blasis",30,"Argentina","SD Eibar",75,75,6500000,"Right",165,65,"Spain"
"1144","M. Zajc",24,"Slovenia","Empoli",75,82,9500000,"Right",178,76,"Italy"
"1145","J. Stanislas",28,"England","Bournemouth",75,75,6500000,"Right",183,76,"UK"
"1146","Lucas Evangelista",23,"Brazil","FC Nantes",75,80,9e+06,"Left",180,76,"France"
"1147","S. van Beek",23,"Netherlands","Feyenoord",75,78,7e+06,"Right",188,76,"Netherlands"
"1148","Fran Sol",26,"Spain","Willem II",75,76,8e+06,"Right",180,77,"Netherlands"
"1149","A. Masuaku",24,"DR Congo","West Ham United",75,79,7e+06,"Left",178,70,"UK"
"1150","Rolando",32,"Portugal","Olympique de Marseille",75,75,3800000,"Right",188,77,"France"
"1151","Alcalá",29,"Spain","Girona FC",75,75,5e+06,"Right",196,93,"Spain"
"1152","Palhinha",22,"Portugal","SC Braga",75,82,8e+06,"Right",190,82,"Portugal"
"1153","Balenziaga",30,"Spain","Athletic Club de Bilbao",75,75,4800000,"Left",178,76,"Spain"
"1154","R. Petrović",29,"Serbia","Sporting CP",75,75,5e+06,"Right",193,78,"Portugal"
"1155","A. Barrada",29,"Morocco","Antalyaspor",75,75,6500000,"Right",178,73,"Turkey"
"1156","J. Korb",26,"Germany","Hannover 96",75,76,6500000,"Right",178,70,"Germany"
"1157","L. Balogun",30,"Nigeria","Brighton & Hove Albion",75,75,4900000,"Right",190,88,"UK"
"1158","M. Rog",22,"Croatia","Napoli",75,81,9e+06,"Right",180,73,"Italy"
"1159","J. Durmaz",29,"Sweden","Toulouse Football Club",75,75,6500000,"Left",180,69,"France"
"1160","Borja Mayoral",21,"Spain","Levante UD",75,83,1e+07,"Right",183,74,"Spain"
"1161","D. Bonera",37,"Italy","Villarreal CF",75,75,9e+05,"Right",183,84,"Spain"
"1162","C. Beauvue",30,"France","Stade Malherbe Caen",75,75,6500000,"Right",175,66,"France"
"1163","Danilo",22,"Brazil","OGC Nice",75,82,9e+06,"Right",183,76,"France"
"1164","J. Hendrick",26,"Republic of Ireland","Burnley",75,77,8e+06,"Right",183,84,"UK"
"1165","M. Lopez",20,"France","Olympique de Marseille",75,81,9e+06,"Right",168,58,"France"
"1166","D. Machís",25,"Venezuela","Udinese",75,78,8500000,"Right",170,74,"Italy"
"1167","Idris",33,"Senegal","Boavista FC",75,75,2700000,"Right",188,80,"Portugal"
"1168","Javi López",32,"Spain","RCD Espanyol",75,75,3700000,"Right",180,76,"Spain"
"1169","G. Pandev",34,"FYR Macedonia","Genoa",75,75,3500000,"Left",183,75,"Italy"
"1170","Júlio Tavares",29,"Cape Verde","Dijon FCO",75,75,6500000,"Right",188,88,"France"
"1171","D. Liénard",30,"France","RC Strasbourg Alsace",75,75,6e+06,"Left",183,77,"France"
"1172","Y. Pelé",35,"France","Olympique de Marseille",75,75,1600000,"Right",196,89,"France"
"1173","L. Sepe",27,"Italy","Parma",75,78,5500000,"Left",185,75,"Italy"
"1174","J. Bruma",26,"Netherlands","VfL Wolfsburg",75,78,7e+06,"Right",190,88,"Germany"
"1175","O. Duarte",29,"Costa Rica","RCD Espanyol",75,75,5e+06,"Right",185,81,"Spain"
"1176","F. Di Santo",29,"Argentina","FC Schalke 04",75,75,6500000,"Right",193,88,"Germany"
"1177","Jozabed",27,"Spain","RC Celta",75,76,7500000,"Right",180,67,"Spain"
"1178","M. Zeegelaar",27,"Netherlands","Watford",75,75,5500000,"Left",185,82,"UK"
"1179","G. Ferrari",26,"Italy","Sassuolo",75,79,7e+06,"Left",188,82,"Italy"
"1180","O. Şahiner",26,"Turkey","Atiker Konyaspor",75,76,8e+06,"Right",175,70,"Turkey"
"1181","I. Traoré",31,"Ivory Coast","Angers SCO",75,75,4500000,"Right",183,87,"France"
"1182","N. Araújo",26,"Mexico","RC Celta",75,78,7e+06,"Right",188,87,"Spain"
"1183","S. Armstrong",26,"Scotland","Southampton",75,77,8e+06,"Right",183,75,"UK"
"1184","Ivan Cavaleiro",24,"Portugal","Wolverhampton Wanderers",75,78,8500000,"Right",175,80,"UK"
"1185","E. Cabaco",23,"Uruguay","Levante UD",75,81,8e+06,"Right",185,75,"Spain"
"1186","Hélder Costa",24,"Portugal","Wolverhampton Wanderers",75,81,9e+06,"Left",178,77,"UK"
"1187","E. Durm",26,"Germany","Huddersfield Town",75,77,6500000,"Right",183,72,"UK"
"1188","Emerson",23,"Italy","Chelsea",75,79,7e+06,"Left",175,77,"UK"
"1189","G. Haraguchi",27,"Japan","Hannover 96",75,75,7e+06,"Right",178,68,"Germany"
"1190","C. Fuchs",32,"Austria","Leicester City",75,75,3700000,"Left",188,89,"UK"
"1191","Rafael",36,"Brazil","Cagliari",75,75,9e+05,"Right",188,80,"Italy"
"1192","Renan Bressan",29,"Belarus","GD Chaves",75,75,6500000,"Right",183,75,"Portugal"
"1193","Lucas Lima",26,"Brazil","FC Nantes",75,76,6500000,"Left",178,76,"France"
"1194","M. Silvestre",33,"Italy","Empoli",75,75,2700000,"Right",185,84,"Italy"
"1195","Portillo",28,"Spain","Getafe CF",75,75,6500000,"Right",170,60,"Spain"
"1196","F. Rønnow",25,"Denmark","Eintracht Frankfurt",75,80,6500000,"Right",190,77,"Germany"
"1197","N. Spolli",35,"Argentina","Genoa",75,75,1600000,"Right",193,90,"Italy"
"1198","Claudemir",30,"Brazil","SC Braga",75,75,6e+06,"Right",185,72,"Portugal"
"1199","P. Tschauner",32,"Germany","Hannover 96",75,75,3800000,"Right",196,93,"Germany"
"1200","A. Grassi",23,"Italy","Parma",75,83,9500000,"Right",183,75,"Italy"
"1201","P. Ntep",25,"Cameroon","VfL Wolfsburg",75,76,8e+06,"Right",180,75,"Germany"
"1202","S. Okazaki",32,"Japan","Leicester City",75,75,5500000,"Right",173,78,"UK"
"1203","C. Jallet",34,"France","OGC Nice",75,75,1900000,"Right",178,70,"France"
"1204","Sandro",29,"Brazil","Genoa",75,75,5e+06,"Right",188,75,"Italy"
"1205","N. Redmond",24,"England","Southampton",75,79,8500000,"Right",173,69,"UK"
"1206","Gálvez",29,"Spain","Rayo Vallecano",75,76,6e+06,"Right",188,79,"Spain"
"1207","E. Badu",27,"Ghana","Udinese",75,75,7e+06,"Right",173,70,"Italy"
"1208","Jason",23,"Spain","Levante UD",75,81,9e+06,"Right",178,65,"Spain"
"1209","S. Cristóforo",24,"Uruguay","Getafe CF",75,79,7500000,"Right",175,68,"Spain"
"1210","L. Butelle",35,"France","Angers SCO",75,75,1600000,"Left",188,84,"France"
"1211","P. Dummett",26,"Wales","Newcastle United",75,76,6500000,"Left",183,82,"UK"
"1212","K. Amian",20,"France","Toulouse Football Club",75,83,8500000,"Right",180,78,"France"
"1213","Naldo",29,"Brazil","RCD Espanyol",75,75,5e+06,"Right",188,80,"Spain"
"1214","Y. Ayoub",24,"Morocco","Feyenoord",75,79,8500000,"Left",175,70,"Netherlands"
"1215","B. Ndiaye",27,"Senegal","Galatasaray SK",75,75,7e+06,"Right",180,76,"Turkey"
"1216","Iraizoz",37,"Spain","Girona FC",75,75,450000,"Right",190,89,"Spain"
"1217","J. Kurtić",29,"Slovenia","SPAL",75,75,6500000,"Right",185,88,"Italy"
"1218","K. Wimmer",25,"Austria","Hannover 96",75,80,7500000,"Left",188,85,"Germany"
"1219","A. Barreca",23,"Italy","AS Monaco",75,80,7500000,"Left",180,70,"France"
"1220","J. Locadia",24,"Netherlands","Brighton & Hove Albion",75,79,9e+06,"Right",185,87,"UK"
"1221","A. Raggi",34,"Italy","AS Monaco",75,75,2e+06,"Right",188,82,"France"
"1222","R. Donk",32,"Netherlands","Galatasaray SK",75,75,3800000,"Right",193,80,"Turkey"
"1223","L. De Silvestri",30,"Italy","Torino",75,75,6500000,"Right",185,84,"Italy"
"1224","M. Saracchi",20,"Uruguay","RB Leipzig",75,85,9500000,"Left",173,69,"Germany"
"1225","D. Congré",33,"France","Montpellier HSC",75,75,2700000,"Right",185,80,"France"
"1226","Felipe Vizeu",21,"Brazil","Udinese",75,87,1.2e+07,"Left",183,82,"Italy"
"1227","G. Nkoudou",23,"France","Tottenham Hotspur",75,80,9e+06,"Right",175,73,"UK"
"1228","Joel Robles",28,"Spain","Real Betis",75,76,5500000,"Right",196,90,"Spain"
